Area,Item,Element,Unit,Y2018
Democratic People's Republic of Korea,Wheat,Production,tonnes,50900.0
Democratic Republic of the Congo,Maize,Production,tonnes,2186055.0
Democratic Republic of the Congo,Rice,Production,tonnes,1286872.0
Democratic Republic of the Congo,Wheat,Production,tonnes,11500.0
Denmark,Maize,Production,tonnes,35480.0
Denmark,Rice,Production,tonnes,0.0
Denmark,Wheat,Production,tonnes,2623930.0
Djibouti,Maize,Production,tonnes,17.15
Dominica,Maize,Production,tonnes,192.17
Dominican Republic,Maize,Production,tonnes,44680.62
Dominican Republic,Rice,Production,tonnes,965250.0
Ecuador,Maize,Production,tonnes,1324147.0
Ecuador,Rice,Production,tonnes,1350093.0
Ecuador,Wheat,Production,tonnes,5398.0
Egypt,Maize,Production,tonnes,5111236.0
Egypt,Rice,Production,tonnes,3123708.0
Egypt,Wheat,Production,tonnes,8348629.0
El Salvador,Maize,Production,tonnes,685509.27
El Salvador,Rice,Production,tonnes,22763.5
Eritrea,Maize,Production,tonnes,20000.0
Eritrea,Wheat,Production,tonnes,25000.0
Estonia,Maize,Production,tonnes,0.0
Estonia,Rice,Production,tonnes,0.0
Estonia,Wheat,Production,tonnes,450270.0
Eswatini,Maize,Production,tonnes,113000.0
Eswatini,Rice,Production,tonnes,1000.0
Eswatini,Wheat,Production,tonnes,724.76
Ethiopia,Maize,Production,tonnes,10119846.66
Ethiopia,Rice,Production,tonnes,171854.1
Ethiopia,Wheat,Production,tonnes,4838074.09
Fiji,Maize,Production,tonnes,1208.0
Fiji,Rice,Production,tonnes,7051.0
Finland,Rice,Production,tonnes,0.0
Finland,Wheat,Production,tonnes,501600.0
France,Maize,Production,tonnes,12580430.0
France,Rice,Production,tonnes,71430.0
France,Wheat,Production,tonnes,35424140.0
Gabon,Maize,Production,tonnes,45590.31
Gabon,Rice,Production,tonnes,1701.29
Gambia,Maize,Production,tonnes,19000.0
Gambia,Rice,Production,tonnes,28000.0
Georgia,Maize,Production,tonnes,194200.0
Georgia,Wheat,Production,tonnes,107100.0
Germany,Maize,Production,tonnes,3344300.0
Germany,Rice,Production,tonnes,0.0
Germany,Wheat,Production,tonnes,20263500.0
Ghana,Maize,Production,tonnes,2306383.95
Ghana,Rice,Production,tonnes,769400.87
Greece,Maize,Production,tonnes,1205980.0
Greece,Rice,Production,tonnes,222690.0
Greece,Wheat,Production,tonnes,1072940.0
Grenada,Maize,Production,tonnes,375.33
Guatemala,Maize,Production,tonnes,1977433.0
Guatemala,Rice,Production,tonnes,32564.0
Guatemala,Wheat,Production,tonnes,464.0
Guinea,Maize,Production,tonnes,818544.0
Guinea,Rice,Production,tonnes,2339747.0
Guinea-Bissau,Maize,Production,tonnes,7000.0
Guinea-Bissau,Rice,Production,tonnes,176000.0
Guyana,Maize,Production,tonnes,4000.0
Guyana,Rice,Production,tonnes,626660.0
Haiti,Maize,Production,tonnes,234033.0
Haiti,Rice,Production,tonnes,164643.0
Honduras,Maize,Production,tonnes,705309.43
Honduras,Rice,Production,tonnes,59648.11
Honduras,Wheat,Production,tonnes,1254.65
Hungary,Maize,Production,tonnes,7930560.0
Hungary,Rice,Production,tonnes,13420.0
Hungary,Wheat,Production,tonnes,5258430.0
India,Maize,Production,tonnes,28752880.0
India,Rice,Production,tonnes,174716730.0
India,Wheat,Production,tonnes,99869520.0
Indonesia,Maize,Production,tonnes,30253938.0
Indonesia,Rice,Production,tonnes,59200534.0
Iran (Islamic Republic of),Maize,Production,tonnes,608898.37
Iran (Islamic Republic of),Rice,Production,tonnes,2106598.48
Iran (Islamic Republic of),Wheat,Production,tonnes,13012380.31
Iraq,Maize,Production,tonnes,225000.0
Iraq,Rice,Production,tonnes,18196.0
Iraq,Wheat,Production,tonnes,2177885.0
Ireland,Maize,Production,tonnes,0.0
Ireland,Rice,Production,tonnes,0.0
Ireland,Wheat,Production,tonnes,485480.0
Israel,Maize,Production,tonnes,74929.0
Israel,Wheat,Production,tonnes,70500.0
Italy,Maize,Production,tonnes,6199150.0
Italy,Rice,Production,tonnes,1470090.0
Italy,Wheat,Production,tonnes,7104650.0
Jamaica,Maize,Production,tonnes,2177.09
Jamaica,Rice,Production,tonnes,0.0
Japan,Maize,Production,tonnes,162.63
Japan,Rice,Production,tonnes,10606000.0
Japan,Wheat,Production,tonnes,764900.0
Jordan,Maize,Production,tonnes,17434.0
Jordan,Wheat,Production,tonnes,16389.0
Kazakhstan,Maize,Production,tonnes,862094.0
Kazakhstan,Rice,Production,tonnes,482945.0
Kazakhstan,Wheat,Production,tonnes,13944108.0
Kenya,Maize,Production,tonnes,4013777.44
Kenya,Rice,Production,tonnes,112605.0
Kenya,Wheat,Production,tonnes,336600.0
Kuwait,Maize,Production,tonnes,8869.0
Kuwait,Wheat,Production,tonnes,9.0
Kyrgyzstan,Maize,Production,tonnes,692877.0
Kyrgyzstan,Rice,Production,tonnes,40783.0
Kyrgyzstan,Wheat,Production,tonnes,615926.0
Lao People's Democratic Republic,Maize,Production,tonnes,981680.0
Lao People's Democratic Republic,Rice,Production,tonnes,3584700.0
Latvia,Maize,Production,tonnes,0.0
Latvia,Rice,Production,tonnes,0.0
Latvia,Wheat,Production,tonnes,1431600.0
Lebanon,Maize,Production,tonnes,3000.0
Lebanon,Wheat,Production,tonnes,130000.0
Lesotho,Maize,Production,tonnes,109912.0
Lesotho,Wheat,Production,tonnes,6975.0
Liberia,Rice,Production,tonnes,257995.0
Libya,Maize,Production,tonnes,3466.7
Libya,Wheat,Production,tonnes,200000.0
Lithuania,Maize,Production,tonnes,87590.0
Lithuania,Rice,Production,tonnes,0.0
Lithuania,Wheat,Production,tonnes,2838900.0
Luxembourg,Maize,Production,tonnes,460.0
Luxembourg,Rice,Production,tonnes,0.0
Luxembourg,Wheat,Production,tonnes,79650.0
Madagascar,Maize,Production,tonnes,215000.0
Madagascar,Rice,Production,tonnes,4030000.0
Madagascar,Wheat,Production,tonnes,5000.0
Malawi,Maize,Production,tonnes,2697959.0
Malawi,Rice,Production,tonnes,112313.0
Malawi,Wheat,Production,tonnes,729.0
Malaysia,Maize,Production,tonnes,68906.65
Malaysia,Rice,Production,tonnes,2639202.0
Maldives,Maize,Production,tonnes,143.55
Mali,Maize,Production,tonnes,3624949.97
Mali,Rice,Production,tonnes,3167527.62
Mali,Wheat,Production,tonnes,29185.0
Malta,Maize,Production,tonnes,0.0
Malta,Rice,Production,tonnes,0.0
Malta,Wheat,Production,tonnes,0.0
Mauritania,Maize,Production,tonnes,12000.0
Mauritania,Rice,Production,tonnes,323000.0
Mauritania,Wheat,Production,tonnes,7438.84
Mauritius,Maize,Production,tonnes,387.0
Mauritius,Rice,Production,tonnes,19.0
Mexico,Maize,Production,tonnes,27169400.0
Mexico,Rice,Production,tonnes,283763.37
Mexico,Wheat,Production,tonnes,2943445.12
Micronesia (Federated States of),Maize,Production,tonnes,94.29
Micronesia (Federated States of),Rice,Production,tonnes,173.67
Mongolia,Wheat,Production,tonnes,436114.89
Montenegro,Maize,Production,tonnes,2743.3
Montenegro,Wheat,Production,tonnes,2466.9
Morocco,Maize,Production,tonnes,118392.0
Morocco,Rice,Production,tonnes,63037.1
Morocco,Wheat,Production,tonnes,7320620.11
Mozambique,Maize,Production,tonnes,1406794.0
Mozambique,Rice,Production,tonnes,170129.0
Mozambique,Wheat,Production,tonnes,17000.0
Myanmar,Maize,Production,tonnes,1984136.46
Myanmar,Rice,Production,tonnes,27573589.14
Myanmar,Wheat,Production,tonnes,115995.52
Namibia,Maize,Production,tonnes,59253.0
Namibia,Wheat,Production,tonnes,6094.0
Nepal,Maize,Production,tonnes,2596844.0
Nepal,Rice,Production,tonnes,5151925.0
Nepal,Wheat,Production,tonnes,1949001.0
Netherlands,Maize,Production,tonnes,89280.0
Netherlands,Rice,Production,tonnes,0.0
Netherlands,Wheat,Production,tonnes,961920.0
New Caledonia,Maize,Production,tonnes,10184.0
New Caledonia,Wheat,Production,tonnes,4.4
New Zealand,Maize,Production,tonnes,191993.37
New Zealand,Rice,Production,tonnes,0.0
New Zealand,Wheat,Production,tonnes,371026.79
Nicaragua,Maize,Production,tonnes,395223.0
Nicaragua,Rice,Production,tonnes,438079.0
Niger,Maize,Production,tonnes,29535.77
Niger,Rice,Production,tonnes,101606.56
Niger,Wheat,Production,tonnes,4807.08
Nigeria,Maize,Production,tonnes,10934149.0
Nigeria,Rice,Production,tonnes,10858537.0
Nigeria,Wheat,Production,tonnes,88362.0
North Macedonia,Maize,Production,tonnes,190722.0
North Macedonia,Rice,Production,tonnes,19732.0
North Macedonia,Wheat,Production,tonnes,241106.0
Norway,Wheat,Production,tonnes,137700.0
Oman,Maize,Production,tonnes,8827.0
Oman,Wheat,Production,tonnes,3579.0
Pakistan,Maize,Production,tonnes,6826379.0
Pakistan,Rice,Production,tonnes,7201966.0
Pakistan,Wheat,Production,tonnes,25076149.0
Palestine,Wheat,Production,tonnes,34184.67
Panama,Maize,Production,tonnes,128540.0
Panama,Rice,Production,tonnes,350195.0
Papua New Guinea,Maize,Production,tonnes,12607.09
Papua New Guinea,Rice,Production,tonnes,874.52
Paraguay,Maize,Production,tonnes,5344650.0
Paraguay,Rice,Production,tonnes,894600.0
Paraguay,Wheat,Production,tonnes,722400.0
Peru,Maize,Production,tonnes,1576752.0
Peru,Rice,Production,tonnes,3557899.99
Peru,Wheat,Production,tonnes,195245.82
Philippines,Maize,Production,tonnes,7771918.63
Philippines,Rice,Production,tonnes,19066093.94
Poland,Maize,Production,tonnes,3792140.0
Poland,Rice,Production,tonnes,0.0
Poland,Wheat,Production,tonnes,9637620.0
Portugal,Maize,Production,tonnes,713860.0
Portugal,Rice,Production,tonnes,160790.0
Portugal,Wheat,Production,tonnes,70110.0
Puerto Rico,Maize,Production,tonnes,22.94
Puerto Rico,Rice,Production,tonnes,186.15
Qatar,Maize,Production,tonnes,1866.0
Qatar,Wheat,Production,tonnes,15.0
Republic of Korea,Maize,Production,tonnes,78012.0
Republic of Korea,Rice,Production,tonnes,5195437.0
Republic of Korea,Wheat,Production,tonnes,25788.0
Republic of Moldova,Maize,Production,tonnes,2073775.0
Republic of Moldova,Rice,Production,tonnes,0.0
Republic of Moldova,Wheat,Production,tonnes,1162778.0
Romania,Maize,Production,tonnes,18663940.0
Romania,Rice,Production,tonnes,42860.0
Romania,Wheat,Production,tonnes,10143670.0
Russian Federation,Maize,Production,tonnes,11419020.0
Russian Federation,Rice,Production,tonnes,1038222.0
Russian Federation,Wheat,Production,tonnes,72136149.0
Rwanda,Maize,Production,tonnes,424203.68
Rwanda,Rice,Production,tonnes,113880.46
Rwanda,Wheat,Production,tonnes,13475.16
Saint Lucia,Maize,Production,tonnes,0.0
Saint Vincent and the Grenadines,Maize,Production,tonnes,1030.0
Saint Vincent and the Grenadines,Rice,Production,tonnes,0.0
Sao Tome and Principe,Maize,Production,tonnes,941.0
Saudi Arabia,Maize,Production,tonnes,134881.0
Saudi Arabia,Rice,Production,tonnes,18.0
Saudi Arabia,Wheat,Production,tonnes,586413.0
Senegal,Maize,Production,tonnes,485672.51
Senegal,Rice,Production,tonnes,1206587.27
Serbia,Maize,Production,tonnes,6964770.0
Serbia,Wheat,Production,tonnes,2941601.0
Sierra Leone,Maize,Production,tonnes,22981.0
Sierra Leone,Rice,Production,tonnes,918713.0
Slovakia,Maize,Production,tonnes,1498210.0
Slovakia,Rice,Production,tonnes,0.0
Slovakia,Wheat,Production,tonnes,1927930.0
Slovenia,Maize,Production,tonnes,350490.0
Slovenia,Rice,Production,tonnes,0.0
Slovenia,Wheat,Production,tonnes,121900.0
Solomon Islands,Rice,Production,tonnes,2746.45
Somalia,Maize,Production,tonnes,102000.0
Somalia,Rice,Production,tonnes,1766.17
Somalia,Wheat,Production,tonnes,1046.65
South Africa,Maize,Production,tonnes,13103975.0
South Africa,Rice,Production,tonnes,3078.73
South Africa,Wheat,Production,tonnes,1868000.0
South Sudan,Maize,Production,tonnes,149611.0
South Sudan,Rice,Production,tonnes,12821.0
South Sudan,Wheat,Production,tonnes,0.0
Spain,Maize,Production,tonnes,3842520.0
Spain,Rice,Production,tonnes,798880.0
Spain,Wheat,Production,tonnes,8322510.0
Sri Lanka,Maize,Production,tonnes,270041.0
Sri Lanka,Rice,Production,tonnes,3929831.0
Sudan,Maize,Production,tonnes,46000.0
Sudan,Rice,Production,tonnes,30000.0
Sudan,Wheat,Production,tonnes,702000.0
Suriname,Maize,Production,tonnes,85.0
Suriname,Rice,Production,tonnes,273916.0
Sweden,Maize,Production,tonnes,4600.0
Sweden,Rice,Production,tonnes,0.0
Sweden,Wheat,Production,tonnes,1620300.0
Switzerland,Maize,Production,tonnes,134853.0
Switzerland,Wheat,Production,tonnes,511446.0
Syrian Arab Republic,Maize,Production,tonnes,101349.0
Syrian Arab Republic,Rice,Production,tonnes,0.0
Syrian Arab Republic,Wheat,Production,tonnes,1222987.62
Tajikistan,Maize,Production,tonnes,237355.2
Tajikistan,Rice,Production,tonnes,90446.0
Tajikistan,Wheat,Production,tonnes,778986.3
Thailand,Maize,Production,tonnes,5069143.0
Thailand,Rice,Production,tonnes,32348114.0
Thailand,Wheat,Production,tonnes,1306.58
Timor-Leste,Maize,Production,tonnes,85176.16
Timor-Leste,Rice,Production,tonnes,57000.0
Togo,Maize,Production,tonnes,886630.0
Togo,Rice,Production,tonnes,145489.0
Trinidad and Tobago,Maize,Production,tonnes,4401.31
Trinidad and Tobago,Rice,Production,tonnes,586.0
Tunisia,Wheat,Production,tonnes,1075400.0
Türkiye,Maize,Production,tonnes,5700000.0
Türkiye,Rice,Production,tonnes,940000.0
Türkiye,Wheat,Production,tonnes,20000000.0
Turkmenistan,Maize,Production,tonnes,40000.0
Turkmenistan,Rice,Production,tonnes,130000.0
Turkmenistan,Wheat,Production,tonnes,1000000.0
Uganda,Maize,Production,tonnes,3442430.0
Uganda,Rice,Production,tonnes,199266.0
Uganda,Wheat,Production,tonnes,23206.0
Ukraine,Maize,Production,tonnes,35801050.0
Ukraine,Rice,Production,tonnes,69210.0
Ukraine,Wheat,Production,tonnes,24652840.0
United Arab Emirates,Maize,Production,tonnes,8169.54
United Arab Emirates,Wheat,Production,tonnes,0.0
United Kingdom of Great Britain and Northern Ireland,Wheat,Production,tonnes,13555000.0
United Republic of Tanzania,Maize,Production,tonnes,6273151.0
United Republic of Tanzania,Rice,Production,tonnes,3414815.0
United Republic of Tanzania,Wheat,Production,tonnes,56651.0
United States of America,Maize,Production,tonnes,364262150.0
United States of America,Rice,Production,tonnes,10152890.0
United States of America,Wheat,Production,tonnes,51305540.0
Uruguay,Maize,Production,tonnes,309000.0
Uruguay,Rice,Production,tonnes,1247000.0
Uruguay,Wheat,Production,tonnes,440000.0
Uzbekistan,Maize,Production,tonnes,413165.0
Uzbekistan,Rice,Production,tonnes,221089.0
Uzbekistan,Wheat,Production,tonnes,5410760.0
Vanuatu,Maize,Production,tonnes,912.91
Venezuela (Bolivarian Republic of),Maize,Production,tonnes,1091345.0
Venezuela (Bolivarian Republic of),Rice,Production,tonnes,490583.0
Venezuela (Bolivarian Republic of),Wheat,Production,tonnes,1151.0
Viet Nam,Maize,Production,tonnes,4874054.16
Viet Nam,Rice,Production,tonnes,44046249.56
Yemen,Maize,Production,tonnes,36438.0
Yemen,Wheat,Production,tonnes,92210.0
Zambia,Maize,Production,tonnes,2394906.98
Zambia,Rice,Production,tonnes,43063.11
Zambia,Wheat,Production,tonnes,114462.73
Zimbabwe,Maize,Production,tonnes,1560100.0
Zimbabwe,Rice,Production,tonnes,1342.47
Zimbabwe,Wheat,Production,tonnes,45000.0
World,Maize,Production,tonnes,1124172165.21
World,Rice,Production,tonnes,761025481.44
World,Wheat,Production,tonnes,732235584.43
Africa,Maize,Production,tonnes,82863154.22
Africa,Rice,Production,tonnes,36739594.39
Africa,Wheat,Production,tonnes,29156614.15
Eastern Africa,Maize,Production,tonnes,33116964.38
Eastern Africa,Rice,Production,tonnes,8504127.13
Eastern Africa,Wheat,Production,tonnes,5498995.63
Middle Africa,Maize,Production,tonnes,7638398.96
Middle Africa,Rice,Production,tonnes,1905174.76
Middle Africa,Wheat,Production,tonnes,16951.57
Northern Africa,Maize,Production,tonnes,5284606.7
Northern Africa,Rice,Production,tonnes,3217060.44
Northern Africa,Wheat,Production,tonnes,21627868.26
Southern Africa,Maize,Production,tonnes,13410773.18
Southern Africa,Rice,Production,tonnes,4078.73
Southern Africa,Wheat,Production,tonnes,1883005.76
Western Africa,Maize,Production,tonnes,23412411.0
Western Africa,Rice,Production,tonnes,23109153.34
Western Africa,Wheat,Production,tonnes,129792.92
Americas,Maize,Production,tonnes,549166575.55
Americas,Rice,Production,tonnes,38420408.01
Americas,Wheat,Production,tonnes,113731171.12
Northern America,Maize,Production,tonnes,378146950.0
Northern America,Rice,Production,tonnes,10152890.0
Northern America,Wheat,Production,tonnes,83657440.0
Central America,Maize,Production,tonnes,31157243.3
Central America,Rice,Production,tonnes,1380026.28
Central America,Wheat,Production,tonnes,2945163.77
Caribbean,Maize,Production,tonnes,633647.94
Caribbean,Rice,Production,tonnes,1591534.9
South America,Maize,Production,tonnes,139228734.31
South America,Rice,Production,tonnes,25295956.84
South America,Wheat,Production,tonnes,27128567.35
Asia,Maize,Production,tonnes,363145164.48
Asia,Rice,Production,tonnes,681251476.4
Asia,Wheat,Production,tonnes,325848288.07
Central Asia,Maize,Production,tonnes,2245491.2
Central Asia,Rice,Production,tonnes,965263.0
Central Asia,Wheat,Production,tonnes,21749780.3
Eastern Asia,Maize,Production,tonnes,259302987.03
Eastern Asia,Rice,Production,tonnes,231967855.85
Eastern Asia,Wheat,Production,tonnes,132724298.89
Southern Asia,Maize,Production,tonnes,42505216.94
Southern Asia,Rice,Production,tonnes,247939117.3
Southern Asia,Wheat,Production,tonnes,144621168.5
South-eastern Asia,Maize,Production,tonnes,52320953.07
South-eastern Asia,Rice,Production,tonnes,199409051.64
South-eastern Asia,Wheat,Production,tonnes,117302.1
Western Asia,Maize,Production,tonnes,6770516.24
Western Asia,Rice,Production,tonnes,970188.6
Western Asia,Wheat,Production,tonnes,26635738.29
Europe,Maize,Production,tonnes,128393031.3
Europe,Rice,Production,tonnes,3968044.0
Europe,Wheat,Production,tonnes,242187345.9
Eastern Europe,Maize,Production,tonnes,86328190.0
Eastern Europe,Rice,Production,tonnes,1224432.0
Eastern Europe,Wheat,Production,tonnes,137106542.0
Northern Europe,Maize,Production,tonnes,127670.0
Northern Europe,Rice,Production,tonnes,0.0
Northern Europe,Wheat,Production,tonnes,23644780.0
Southern Europe,Maize,Production,tonnes,23280958.3
Southern Europe,Rice,Production,tonnes,2672182.0
Southern Europe,Wheat,Production,tonnes,21166447.9
Western Europe,Maize,Production,tonnes,18656213.0
Western Europe,Rice,Production,tonnes,71430.0
Western Europe,Wheat,Production,tonnes,60269576.0
Oceania,Maize,Production,tonnes,604239.66
Oceania,Rice,Production,tonnes,645958.64
Oceania,Wheat,Production,tonnes,21312165.19
Australia and New Zealand,Maize,Production,tonnes,579233.37
Australia and New Zealand,Rice,Production,tonnes,635113.0
Australia and New Zealand,Wheat,Production,tonnes,21312160.79
Melanesia,Maize,Production,tonnes,24912.01
Melanesia,Rice,Production,tonnes,10671.97
Melanesia,Wheat,Production,tonnes,4.4
Micronesia,Maize,Production,tonnes,94.29
Micronesia,Rice,Production,tonnes,173.67
European Union (27),Maize,Production,tonnes,69004810.0
European Union (27),Rice,Production,tonnes,2840880.0
European Union (27),Wheat,Production,tonnes,124510720.0
Least Developed Countries,Maize,Production,tonnes,52896272.48
Least Developed Countries,Rice,Production,tonnes,121721312.39
Least Developed Countries,Wheat,Production,tonnes,12755377.84
Land Locked Developing Countries,Maize,Production,tonnes,42321182.32
Land Locked Developing Countries,Rice,Production,tonnes,16221320.78
Land Locked Developing Countries,Wheat,Production,tonnes,37459150.07
Small Island Developing States,Maize,Production,tonnes,841154.82
Small Island Developing States,Rice,Production,tonnes,2780307.15
Small Island Developing States,Wheat,Production,tonnes,4.4
Low Income Food Deficit Countries,Maize,Production,tonnes,91787761.42
Low Income Food Deficit Countries,Rice,Production,tonnes,304363926.64
Low Income Food Deficit Countries,Wheat,Production,tonnes,120851900.76
Net Food Importing Developing Countries,Maize,Production,tonnes,75009326.62
Net Food Importing Developing Countries,Rice,Production,tonnes,143719625.13
Net Food Importing Developing Countries,Wheat,Production,tonnes,55570962.07
